0,1,2
us-gaap:commonstockparorstatedvaluepershare,0.00001,FI2018Q4
us-gaap:commonstockparorstatedvaluepershare,0.00001,FI2019Q4
us-gaap:commonstocksharesauthorized,12600000000,FI2018Q4
us-gaap:commonstocksharesauthorized,12600000000,FI2019Q4
us-gaap:commonstocksharesissued,4754986000,FI2018Q4
us-gaap:commonstocksharesissued,4443236000,FI2019Q4
us-gaap:commonstocksharesoutstanding,4754986000,FI2018Q4
us-gaap:commonstocksharesoutstanding,4443236000,FI2019Q4
us-gaap:debtinstrumentinterestratestatedpercentage,0.0465,FI2019Q4_srt_RangeAxis_srt_MaximumMember_us-gaap_DebtInstrumentAxis_aapl_A20132018DebtIssuancesMember_us-gaap_LongtermDebtTypeAxis_aapl_FixedRateNotesMember
us-gaap:debtinstrumentinterestratestatedpercentage,0.0295,FI2019Q4_srt_RangeAxis_srt_MaximumMember_us-gaap_DebtInstrumentAxis_aapl_A2019DebtIssuanceMember_us-gaap_LongtermDebtTypeAxis_aapl_FixedRateNotesMember
us-gaap:debtinstrumentinterestratestatedpercentage,0.0035,FI2019Q4_srt_RangeAxis_srt_MinimumMember_us-gaap_DebtInstrumentAxis_aapl_A20132018DebtIssuancesMember_us-gaap_LongtermDebtTypeAxis_aapl_FixedRateNotesMember
us-gaap:debtinstrumentinterestratestatedpercentage,0.017,FI2019Q4_srt_RangeAxis_srt_MinimumMember_us-gaap_DebtInstrumentAxis_aapl_A2019DebtIssuanceMember_us-gaap_LongtermDebtTypeAxis_aapl_FixedRateNotesMember
us-gaap:revenuefromcontractwithcustomerexcludingassessedtax,213883000000,FD2019Q4YTD_srt_ProductOrServiceAxis_us-gaap_ProductMember
us-gaap:revenuefromcontractwithcustomerexcludingassessedtax,225847000000,FD2018Q4YTD_srt_ProductOrServiceAxis_us-gaap_ProductMember
us-gaap:revenuefromcontractwithcustomerexcludingassessedtax,196534000000,FD2017Q4YTD_srt_ProductOrServiceAxis_us-gaap_ProductMember
us-gaap:revenuefromcontractwithcustomerexcludingassessedtax,46291000000,FD2019Q4YTD_srt_ProductOrServiceAxis_us-gaap_ServiceMember
us-gaap:revenuefromcontractwithcustomerexcludingassessedtax,39748000000,FD2018Q4YTD_srt_ProductOrServiceAxis_us-gaap_ServiceMember
us-gaap:revenuefromcontractwithcustomerexcludingassessedtax,32700000000,FD2017Q4YTD_srt_ProductOrServiceAxis_us-gaap_ServiceMember
us-gaap:revenuefromcontractwithcustomerexcludingassessedtax,260174000000,FD2019Q4YTD
us-gaap:revenuefromcontractwithcustomerexcludingassessedtax,265595000000,FD2018Q4YTD
us-gaap:revenuefromcontractwithcustomerexcludingassessedtax,229234000000,FD2017Q4YTD
us-gaap:costofgoodsandservicessold,144996000000,FD2019Q4YTD_srt_ProductOrServiceAxis_us-gaap_ProductMember
us-gaap:costofgoodsandservicessold,148164000000,FD2018Q4YTD_srt_ProductOrServiceAxis_us-gaap_ProductMember
us-gaap:costofgoodsandservicessold,126337000000,FD2017Q4YTD_srt_ProductOrServiceAxis_us-gaap_ProductMember
us-gaap:costofgoodsandservicessold,16786000000,FD2019Q4YTD_srt_ProductOrServiceAxis_us-gaap_ServiceMember
us-gaap:costofgoodsandservicessold,15592000000,FD2018Q4YTD_srt_ProductOrServiceAxis_us-gaap_ServiceMember
us-gaap:costofgoodsandservicessold,14711000000,FD2017Q4YTD_srt_ProductOrServiceAxis_us-gaap_ServiceMember
us-gaap:costofgoodsandservicessold,161782000000,FD2019Q4YTD
us-gaap:costofgoodsandservicessold,163756000000,FD2018Q4YTD
us-gaap:costofgoodsandservicessold,141048000000,FD2017Q4YTD
us-gaap:grossprofit,98392000000,FD2019Q4YTD
us-gaap:grossprofit,101839000000,FD2018Q4YTD
us-gaap:grossprofit,88186000000,FD2017Q4YTD
us-gaap:researchanddevelopmentexpense,16217000000,FD2019Q4YTD
us-gaap:researchanddevelopmentexpense,14236000000,FD2018Q4YTD
us-gaap:researchanddevelopmentexpense,11581000000,FD2017Q4YTD
us-gaap:sellinggeneralandadministrativeexpense,18245000000,FD2019Q4YTD
us-gaap:sellinggeneralandadministrativeexpense,16705000000,FD2018Q4YTD
us-gaap:sellinggeneralandadministrativeexpense,15261000000,FD2017Q4YTD
us-gaap:operatingexpenses,34462000000,FD2019Q4YTD
us-gaap:operatingexpenses,30941000000,FD2018Q4YTD
us-gaap:operatingexpenses,26842000000,FD2017Q4YTD
us-gaap:operatingincomeloss,63930000000,FD2019Q4YTD
us-gaap:operatingincomeloss,70898000000,FD2018Q4YTD
us-gaap:operatingincomeloss,61344000000,FD2017Q4YTD
us-gaap:nonoperatingincomeexpense,1807000000,FD2019Q4YTD
us-gaap:nonoperatingincomeexpense,2005000000,FD2018Q4YTD
us-gaap:nonoperatingincomeexpense,2745000000,FD2017Q4YTD
us-gaap:incomelossfromcontinuingoperationsbeforeincometaxesextraordinaryitemsnoncontrollinginterest,65737000000,FD2019Q4YTD
us-gaap:incomelossfromcontinuingoperationsbeforeincometaxesextraordinaryitemsnoncontrollinginterest,72903000000,FD2018Q4YTD
us-gaap:incomelossfromcontinuingoperationsbeforeincometaxesextraordinaryitemsnoncontrollinginterest,64089000000,FD2017Q4YTD
us-gaap:incometaxexpensebenefit,10481000000,FD2019Q4YTD
us-gaap:incometaxexpensebenefit,13372000000,FD2018Q4YTD
us-gaap:incometaxexpensebenefit,15738000000,FD2017Q4YTD
us-gaap:netincomeloss,55256000000,FD2019Q4YTD
us-gaap:netincomeloss,59531000000,FD2018Q4YTD
us-gaap:netincomeloss,48351000000,FD2017Q4YTD
us-gaap:earningspersharebasic,11.97,FD2019Q4YTD
us-gaap:earningspersharebasic,12.01,FD2018Q4YTD
us-gaap:earningspersharebasic,9.27,FD2017Q4YTD
us-gaap:earningspersharediluted,11.89,FD2019Q4YTD
us-gaap:earningspersharediluted,11.91,FD2018Q4YTD
us-gaap:earningspersharediluted,9.21,FD2017Q4YTD
us-gaap:weightedaveragenumberofsharesoutstandingbasic,4617834000,FD2019Q4YTD
us-gaap:weightedaveragenumberofsharesoutstandingbasic,4955377000,FD2018Q4YTD
us-gaap:weightedaveragenumberofsharesoutstandingbasic,5217242000,FD2017Q4YTD
us-gaap:weightedaveragenumberofdilutedsharesoutstanding,4648913000,FD2019Q4YTD
us-gaap:weightedaveragenumberofdilutedsharesoutstanding,5000109000,FD2018Q4YTD
us-gaap:weightedaveragenumberofdilutedsharesoutstanding,5251692000,FD2017Q4YTD
us-gaap:netincomeloss,55256000000,FD2019Q4YTD
us-gaap:netincomeloss,59531000000,FD2018Q4YTD
us-gaap:netincomeloss,48351000000,FD2017Q4YTD
us-gaap:othercomprehensiveincomelossforeigncurrencytransactionandtranslationadjustmentnetoftax,224000000,FD2017Q4YTD
us-gaap:othercomprehensiveincomeunrealizedgainlossonderivativesarisingduringperiodnetoftax,523000000,FD2018Q4YTD
us-gaap:othercomprehensiveincomeunrealizedgainlossonderivativesarisingduringperiodnetoftax,1315000000,FD2017Q4YTD
us-gaap:othercomprehensiveincomelossreclassificationadjustmentfromaocionderivativesnetoftax,1477000000,FD2017Q4YTD
us-gaap:othercomprehensiveincomelossderivativesqualifyingashedgesnetoftax,905000000,FD2018Q4YTD
us-gaap:othercomprehensiveincomeunrealizedholdinggainlossonsecuritiesarisingduringperiodnetoftax,3802000000,FD2019Q4YTD
us-gaap:othercomprehensiveincomelossreclassificationadjustmentfromaociforsaleofsecuritiesnetoftax,64000000,FD2017Q4YTD
us-gaap:othercomprehensiveincomelossavailableforsalesecuritiesadjustmentnetoftax,3827000000,FD2019Q4YTD
us-gaap:othercomprehensiveincomelossnetoftaxportionattributabletoparent,2781000000,FD2019Q4YTD
us-gaap:comprehensiveincomenetoftax,58037000000,FD2019Q4YTD
us-gaap:comprehensiveincomenetoftax,56505000000,FD2018Q4YTD
us-gaap:comprehensiveincomenetoftax,47567000000,FD2017Q4YTD
us-gaap:cashandcashequivalentsatcarryingvalue,48844000000,FI2019Q4
us-gaap:cashandcashequivalentsatcarryingvalue,25913000000,FI2018Q4
us-gaap:marketablesecuritiescurrent,51713000000,FI2019Q4
us-gaap:marketablesecuritiescurrent,40388000000,FI2018Q4
us-gaap:accountsreceivablenetcurrent,22926000000,FI2019Q4
us-gaap:accountsreceivablenetcurrent,23186000000,FI2018Q4
us-gaap:inventorynet,4106000000,FI2019Q4
us-gaap:inventorynet,3956000000,FI2018Q4
us-gaap:nontradereceivablescurrent,22878000000,FI2019Q4
us-gaap:nontradereceivablescurrent,25809000000,FI2018Q4
us-gaap:otherassetscurrent,12352000000,FI2019Q4
us-gaap:otherassetscurrent,12087000000,FI2018Q4
us-gaap:assetscurrent,162819000000,FI2019Q4
us-gaap:assetscurrent,131339000000,FI2018Q4
us-gaap:marketablesecuritiesnoncurrent,105341000000,FI2019Q4
us-gaap:marketablesecuritiesnoncurrent,170799000000,FI2018Q4
us-gaap:propertyplantandequipmentnet,37378000000,FI2019Q4
us-gaap:propertyplantandequipmentnet,41304000000,FI2018Q4
us-gaap:otherassetsnoncurrent,32978000000,FI2019Q4
us-gaap:otherassetsnoncurrent,22283000000,FI2018Q4
us-gaap:assetsnoncurrent,175697000000,FI2019Q4
us-gaap:assetsnoncurrent,234386000000,FI2018Q4
us-gaap:assets,338516000000,FI2019Q4
us-gaap:assets,365725000000,FI2018Q4
us-gaap:accountspayablecurrent,46236000000,FI2019Q4
us-gaap:accountspayablecurrent,55888000000,FI2018Q4
us-gaap:otherliabilitiescurrent,37720000000,FI2019Q4
us-gaap:otherliabilitiescurrent,33327000000,FI2018Q4
us-gaap:contractwithcustomerliabilitycurrent,5522000000,FI2019Q4
us-gaap:contractwithcustomerliabilitycurrent,5966000000,FI2018Q4
us-gaap:commercialpaper,5980000000,FI2019Q4
us-gaap:commercialpaper,11964000000,FI2018Q4
us-gaap:longtermdebtcurrent,10260000000,FI2019Q4
us-gaap:longtermdebtcurrent,8784000000,FI2018Q4
us-gaap:liabilitiescurrent,105718000000,FI2019Q4
us-gaap:liabilitiescurrent,115929000000,FI2018Q4
us-gaap:longtermdebtnoncurrent,91807000000,FI2019Q4
us-gaap:longtermdebtnoncurrent,93735000000,FI2018Q4
us-gaap:otherliabilitiesnoncurrent,50503000000,FI2019Q4
us-gaap:otherliabilitiesnoncurrent,48914000000,FI2018Q4
us-gaap:liabilitiesnoncurrent,142310000000,FI2019Q4
us-gaap:liabilitiesnoncurrent,142649000000,FI2018Q4
us-gaap:liabilities,248028000000,FI2019Q4
us-gaap:liabilities,258578000000,FI2018Q4
us-gaap:commonstocksincludingadditionalpaidincapital,45174000000,FI2019Q4
us-gaap:commonstocksincludingadditionalpaidincapital,40201000000,FI2018Q4
us-gaap:retainedearningsaccumulateddeficit,45898000000,FI2019Q4
us-gaap:retainedearningsaccumulateddeficit,70400000000,FI2018Q4
us-gaap:stockholdersequity,90488000000,FI2019Q4
us-gaap:stockholdersequity,107147000000,FI2018Q4
us-gaap:liabilitiesandstockholdersequity,338516000000,FI2019Q4
us-gaap:liabilitiesandstockholdersequity,365725000000,FI2018Q4
us-gaap:stockholdersequity,107147000000,FI2018Q4
us-gaap:stockholdersequity,134047000000,FI2017Q4
us-gaap:stockholdersequity,128249000000,FI2016Q4
us-gaap:stockholdersequity,40201000000,FI2018Q4_us-gaap_StatementEquityComponentsAxis_us-gaap_CommonStockIncludingAdditionalPaidInCapitalMember
us-gaap:stockholdersequity,35867000000,FI2017Q4_us-gaap_StatementEquityComponentsAxis_us-gaap_CommonStockIncludingAdditionalPaidInCapitalMember
us-gaap:stockholdersequity,31251000000,FI2016Q4_us-gaap_StatementEquityComponentsAxis_us-gaap_CommonStockIncludingAdditionalPaidInCapitalMember
us-gaap:stockissuedduringperiodvaluenewissues,781000000,FD2019Q4YTD_us-gaap_StatementEquityComponentsAxis_us-gaap_CommonStockIncludingAdditionalPaidInCapitalMember
us-gaap:stockissuedduringperiodvaluenewissues,669000000,FD2018Q4YTD_us-gaap_StatementEquityComponentsAxis_us-gaap_CommonStockIncludingAdditionalPaidInCapitalMember
us-gaap:stockissuedduringperiodvaluenewissues,555000000,FD2017Q4YTD_us-gaap_StatementEquityComponentsAxis_us-gaap_CommonStockIncludingAdditionalPaidInCapitalMember
us-gaap:adjustmentsrelatedtotaxwithholdingforsharebasedcompensation,2002000000,FD2019Q4YTD_us-gaap_StatementEquityComponentsAxis_us-gaap_CommonStockIncludingAdditionalPaidInCapitalMember
us-gaap:adjustmentsrelatedtotaxwithholdingforsharebasedcompensation,1778000000,FD2018Q4YTD_us-gaap_StatementEquityComponentsAxis_us-gaap_CommonStockIncludingAdditionalPaidInCapitalMember
