0,1,2
us-gaap:accountspayablecurrent,2807000000,FI2016Q4
us-gaap:accountspayablecurrent,3102000000,FI2017Q4
us-gaap:accountsreceivablenetcurrent,7018000000,FI2016Q4
us-gaap:accountsreceivablenetcurrent,6873000000,FI2017Q4
us-gaap:accrualforenvironmentallosscontingencies,83000000,FI2016Q4
us-gaap:accrualforenvironmentallosscontingencies,82000000,FI2017Q4
us-gaap:accruedincometaxescurrent,2239000000,FI2016Q4
us-gaap:accruedincometaxescurrent,708000000,FI2017Q4
us-gaap:accumulateddepreciationdepletionandamortizationpropertyplantandequipment,15749000000,FI2016Q4
us-gaap:accumulateddepreciationdepletionandamortizationpropertyplantandequipment,16602000000,FI2017Q4
us-gaap:accumulatedothercomprehensiveincomelossdefinedbenefitpensionandotherpostretirementplansnetof,115000000,FI2016Q4_us-gaap_StatementEquityComponentsAxis_mrk_OtherPostretirementBenefitPlanNetLossMember
us-gaap:accumulatedothercomprehensiveincomelossdefinedbenefitpensionandotherpostretirementplansnetof,466000000,FI2016Q4_us-gaap_StatementEquityComponentsAxis_mrk_OtherPostretirementBenefitPlanPriorServiceCostMember
us-gaap:accumulatedothercomprehensiveincomelossdefinedbenefitpensionandotherpostretirementplansnetof,3900000000,FI2016Q4_us-gaap_StatementEquityComponentsAxis_mrk_PensionPlanNetLossMember
us-gaap:accumulatedothercomprehensiveincomelossdefinedbenefitpensionandotherpostretirementplansnetof,361000000,FI2016Q4_us-gaap_StatementEquityComponentsAxis_mrk_PensionPlanPriorServiceCostMember
us-gaap:accumulatedothercomprehensiveincomelossdefinedbenefitpensionandotherpostretirementplansnetof,383000000,FI2017Q4_us-gaap_StatementEquityComponentsAxis_mrk_OtherPostretirementBenefitPlanPriorServiceCostMember
us-gaap:accumulatedothercomprehensiveincomelossdefinedbenefitpensionandotherpostretirementplansnetof,3500000000,FI2017Q4_us-gaap_StatementEquityComponentsAxis_mrk_PensionPlanNetLossMember
us-gaap:accumulatedothercomprehensiveincomelossdefinedbenefitpensionandotherpostretirementplansnetof,326000000,FI2017Q4_us-gaap_StatementEquityComponentsAxis_mrk_PensionPlanPriorServiceCostMember
us-gaap:additionalpaidincapitalcommonstock,39939000000,FI2016Q4
us-gaap:additionalpaidincapitalcommonstock,39902000000,FI2017Q4
us-gaap:advertisingexpense,2100000000,FD2015Q4YTD
us-gaap:advertisingexpense,2100000000,FD2016Q4YTD
us-gaap:advertisingexpense,2200000000,FD2017Q4YTD
us-gaap:allowancefordoubtfulaccountsreceivablecurrent,195000000,FI2016Q4
us-gaap:allowancefordoubtfulaccountsreceivablecurrent,210000000,FI2017Q4
us-gaap:amortizationofintangibleassets,4800000000,FD2015Q4YTD
us-gaap:amortizationofintangibleassets,3800000000,FD2016Q4YTD
