0,1,2
us-gaap:goodwill,1800000000,eol_PE8528----1510-K0009_STD_0_20141106_0_1114608x1190035
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedintangibles,928000000,eol_PE8528----1510-K0009_STD_0_20141106_0_1114608x1190035
us-gaap:stockrepurchaseprogramauthorizedamount1,40000000000,eol_PE8528----1510-K0009_STD_0_20130916_0
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedcurrentliabiliti,4575000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumednoncurrentliabil,890000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897
us-gaap:businesscombinationacquiredreceivablesestimateduncollectible,147000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedinventory,544000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedcurrentassetsrec,754000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897
us-gaap:goodwill,5456000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedintangibles,4509000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897
us-gaap:businesscombinationacquiredreceivablesgrosscontractualamount,901000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredgoodwillandliabilitiesassumednet,9442000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedothernoncurrenta,221000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedpropertyplantand,981000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedcashandequivalen,1506000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedcurrentassetsoth,936000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedintangibles,157000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897_1114897x1104202
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedintangibles,2493000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897_1114897x1107112
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedintangibles,1500000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897_1114897x1110497
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedintangibles,359000000,eol_PE8528----1510-K0009_STD_0_20140425_0_1114608x1250897_1114897x1116323
us-gaap:debtinstrumentfaceamount,10800000000,eol_PE8528----1510-K0009_STD_0_20150228_0_1116613x1213988
us-gaap:commonstocksharesoutstanding,8381000000,eol_PE8528----1510-K0009_STD_0_20120630_0
us-gaap:unrecognizedtaxbenefits,7202000000,eol_PE8528----1510-K0009_STD_0_20120630_0
us-gaap:cashandcashequivalentsatcarryingvalue,6938000000,eol_PE8528----1510-K0009_STD_0_20120630_0
us-gaap:accumulatedothercomprehensiveincomelossnetoftax,1431000000,eol_PE8528----1510-K0009_STD_0_20120630_0_1107486x1105875
us-gaap:stockholdersequity,65797000000,eol_PE8528----1510-K0009_STD_0_20120630_0_1107486x1107334
us-gaap:accumulatedothercomprehensiveincomelossnetoftax,92000000,eol_PE8528----1510-K0009_STD_0_20120630_0_1107486x1110385
us-gaap:stockholdersequity,1422000000,eol_PE8528----1510-K0009_STD_0_20120630_0_1107486x1113367
us-gaap:valuationallowancesandreservesbalance,389000000,eol_PE8528----1510-K0009_STD_0_20120630_0_1113795x1116934
us-gaap:goodwill,937000000,eol_PE8528----1510-K0009_STD_0_20120718_0_1114608x1182824
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedintangibles,178000000,eol_PE8528----1510-K0009_STD_0_20120718_0_1114608x1182824
us-gaap:commonstocksharesoutstanding,8328000000,eol_PE8528----1510-K0009_STD_0_20130630_0
us-gaap:unrecognizedtaxbenefits,8648000000,eol_PE8528----1510-K0009_STD_0_20130630_0
us-gaap:unrecognizedtaxbenefitsincometaxpenaltiesandinterestaccrued,1300000000,eol_PE8528----1510-K0009_STD_0_20130630_0
us-gaap:accumulatedothercomprehensiveincomelossnetoftax,1743000000,eol_PE8528----1510-K0009_STD_0_20130630_0
us-gaap:unrecognizedtaxbenefitsthatwouldimpacteffectivetaxrate,6500000000,eol_PE8528----1510-K0009_STD_0_20130630_0
us-gaap:stockholdersequity,78944000000,eol_PE8528----1510-K0009_STD_0_20130630_0
us-gaap:noncurrentassets,27729000000,eol_PE8528----1510-K0009_STD_0_20130630_0
us-gaap:goodwill,14655000000,eol_PE8528----1510-K0009_STD_0_20130630_0
us-gaap:cashandcashequivalentsatcarryingvalue,3804000000,eol_PE8528----1510-K0009_STD_0_20130630_0
us-gaap:sharebasedcompensationarrangementbysharebasedpaymentawardmaximumemployeesubscriptionrate,0.15,eol_PE8528----1510-K0009_STD_0_20130630_0_1104490x1115966
us-gaap:goodwill,738000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1106947x1198446_1116875x1167504
us-gaap:goodwill,10051000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1106947x1218104_1116875x1193474
us-gaap:goodwill,1689000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1106947x1258102_1116875x1167504_1147925x1188288
us-gaap:goodwill,1311000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1106947x1260108_1116875x1193474
us-gaap:goodwill,866000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1106947x1268824_1116875x1167504
us-gaap:accumulatedothercomprehensiveincomelossnetoftax,1794000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1107486x1105875
us-gaap:stockholdersequity,9895000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1107486x1106719
us-gaap:stockholdersequity,67306000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1107486x1107334
us-gaap:accumulatedothercomprehensiveincomelossnetoftax,66000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1107486x1110385
us-gaap:stockholdersequity,1743000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1107486x1113367
us-gaap:noncurrentassets,16615000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1107576x1104434
us-gaap:noncurrentassets,12000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1107576x1109088
us-gaap:noncurrentassets,6943000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1107576x1115845
us-gaap:noncurrentassets,4159000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1107576x1142901
us-gaap:valuationallowancesandreservesbalance,336000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1113795x1116934
us-gaap:goodwill,3293000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1116875x1167504
us-gaap:goodwill,1689000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1116875x1167504_1147925x1188288
us-gaap:goodwill,11362000000,eol_PE8528----1510-K0009_STD_0_20130630_0_1116875x1193474
