0,1,2
us-gaap:acceleratedsharerepurchasesfinalpricepaidpershare,103.02,D2016Q4Apr30_us-gaap_ShareRepurchaseProgramAxis_aapl_AcceleratedShareRepurchaseAgreementNovember2015Member
us-gaap:acceleratedsharerepurchasesfinalpricepaidpershare,99.25,D2016Q4Aug31_us-gaap_ShareRepurchaseProgramAxis_aapl_AcceleratedShareRepurchaseAgreementMay2016Member
us-gaap:acceleratedsharerepurchasesfinalpricepaidpershare,111.73,D2017Q1Nov30_us-gaap_ShareRepurchaseProgramAxis_aapl_AcceleratedShareRepurchaseAgreementAugust2016Member
us-gaap:acceleratedsharerepurchasesfinalpricepaidpershare,117.29,D2017Q2Feb28_us-gaap_ShareRepurchaseProgramAxis_aapl_AcceleratedShareRepurchaseAgreementNovember2016Member
us-gaap:accountspayablecurrent,37294000000,FI2016Q4
us-gaap:accountspayablecurrent,28573000000,FI2017Q2
us-gaap:accountsreceivablenetcurrent,15754000000,FI2016Q4
us-gaap:accountsreceivablenetcurrent,11579000000,FI2017Q2
us-gaap:accruedliabilitiescurrent,22027000000,FI2016Q4
us-gaap:accruedliabilitiescurrent,23096000000,FI2017Q2
us-gaap:accumulateddepreciationdepletionandamortizationpropertyplantandequipment,34235000000,FI2016Q4
us-gaap:accumulateddepreciationdepletionandamortizationpropertyplantandequipment,37961000000,FI2017Q2
us-gaap:accumulatedothercomprehensiveincomelossnetoftax,634000000,FI2016Q4
us-gaap:allocatedsharebasedcompensationexpense,1048000000,FD2016Q2QTD
us-gaap:allocatedsharebasedcompensationexpense,191000000,FD2016Q2QTD_us-gaap_IncomeStatementLocationAxis_us-gaap_CostOfSalesMember
us-gaap:allocatedsharebasedcompensationexpense,468000000,FD2016Q2QTD_us-gaap_IncomeStatementLocationAxis_us-gaap_ResearchAndDevelopmentExpenseMember
us-gaap:allocatedsharebasedcompensationexpense,389000000,FD2016Q2QTD_us-gaap_IncomeStatementLocationAxis_us-gaap_SellingGeneralAndAdministrativeExpensesMember
us-gaap:allocatedsharebasedcompensationexpense,2126000000,FD2016Q2YTD
us-gaap:allocatedsharebasedcompensationexpense,395000000,FD2016Q2YTD_us-gaap_IncomeStatementLocationAxis_us-gaap_CostOfSalesMember
us-gaap:allocatedsharebasedcompensationexpense,934000000,FD2016Q2YTD_us-gaap_IncomeStatementLocationAxis_us-gaap_ResearchAndDevelopmentExpenseMember
us-gaap:allocatedsharebasedcompensationexpense,797000000,FD2016Q2YTD_us-gaap_IncomeStatementLocationAxis_us-gaap_SellingGeneralAndAdministrativeExpensesMember
us-gaap:allocatedsharebasedcompensationexpense,1217000000,FD2017Q2QTD
us-gaap:allocatedsharebasedcompensationexpense,217000000,FD2017Q2QTD_us-gaap_IncomeStatementLocationAxis_us-gaap_CostOfSalesMember
us-gaap:allocatedsharebasedcompensationexpense,575000000,FD2017Q2QTD_us-gaap_IncomeStatementLocationAxis_us-gaap_ResearchAndDevelopmentExpenseMember
us-gaap:allocatedsharebasedcompensationexpense,425000000,FD2017Q2QTD_us-gaap_IncomeStatementLocationAxis_us-gaap_SellingGeneralAndAdministrativeExpensesMember
us-gaap:allocatedsharebasedcompensationexpense,2473000000,FD2017Q2YTD
us-gaap:allocatedsharebasedcompensationexpense,446000000,FD2017Q2YTD_us-gaap_IncomeStatementLocationAxis_us-gaap_CostOfSalesMember
us-gaap:allocatedsharebasedcompensationexpense,1164000000,FD2017Q2YTD_us-gaap_IncomeStatementLocationAxis_us-gaap_ResearchAndDevelopmentExpenseMember
us-gaap:allocatedsharebasedcompensationexpense,863000000,FD2017Q2YTD_us-gaap_IncomeStatementLocationAxis_us-gaap_SellingGeneralAndAdministrativeExpensesMember
us-gaap:allowancefordoubtfulaccountsreceivablecurrent,53000000,FI2016Q4
us-gaap:allowancefordoubtfulaccountsreceivablecurrent,53000000,FI2017Q2
us-gaap:assets,321686000000,FI2016Q4
us-gaap:assets,334532000000,FI2017Q2
us-gaap:assetscurrent,106869000000,FI2016Q4
us-gaap:assetscurrent,101990000000,FI2017Q2
us-gaap:availableforsalesecurities,237585000000,FI2016Q4
us-gaap:availableforsalesecurities,4927000000,FI2016Q4_us-gaap_FairValueByFairValueHierarchyLevelAxis_us-gaap_FairValueInputsLevel1Member
us-gaap:availableforsalesecurities,3666000000,FI2016Q4_us-gaap_FairValueByFairValueHierarchyLevelAxis_us-gaap_FairValueInputsLevel1Member_us-gaap_InvestmentTypeAxis_us-gaap_MoneyMarketFundsMember
us-gaap:availableforsalesecurities,1261000000,FI2016Q4_us-gaap_FairValueByFairValueHierarchyLevelAxis_us-gaap_FairValueInputsLevel1Member_us-gaap_InvestmentTypeAxis_us-gaap_MutualFundMember
us-gaap:availableforsalesecurities,224057000000,FI2016Q4_us-gaap_FairValueByFairValueHierarchyLevelAxis_us-gaap_FairValueInputsLevel2Member
us-gaap:availableforsalesecurities,19284000000,FI2016Q4_us-gaap_FairValueByFairValueHierarchyLevelAxis_us-gaap_FairValueInputsLevel2Member_us-gaap_InvestmentTypeAxis_us-gaap_AssetBackedSecuritiesMember
us-gaap:availableforsalesecurities,6598000000,FI2016Q4_us-gaap_FairValueByFairValueHierarchyLevelAxis_us-gaap_FairValueInputsLevel2Member_us-gaap_InvestmentTypeAxis_us-gaap_BankTimeDepositsMember
