0,1,2
us-gaap:accountspayablecurrent,1945000000,As_Of_12_31_2017
us-gaap:accountspayablecurrent,1874000000,As_Of_3_31_2018
us-gaap:accountsreceivablenetcurrent,4911000000,As_Of_12_31_2017
us-gaap:accountsreceivablenetcurrent,5252000000,As_Of_3_31_2018
us-gaap:accruedincometaxescurrent,310000000,As_Of_12_31_2017
us-gaap:accruedincometaxescurrent,282000000,As_Of_3_31_2018
us-gaap:accumulateddepreciationdepletionandamortizationpropertyplantandequipment,16048000000,As_Of_12_31_2017
us-gaap:accumulateddepreciationdepletionandamortizationpropertyplantandequipment,16310000000,As_Of_3_31_2018
us-gaap:additionalpaidincapitalcommonstock,5352000000,As_Of_12_31_2017
us-gaap:additionalpaidincapitalcommonstock,5496000000,As_Of_3_31_2018
us-gaap:adjustmentstoadditionalpaidincapitalsharebasedcompensationandexerciseofstockoptions,128000000,Duration_1_1_2017_To_3_31_2017
us-gaap:adjustmentstoadditionalpaidincapitalsharebasedcompensationandexerciseofstockoptions,128000000,Duration_1_1_2017_To_3_31_2017_us-gaap_StatementEquityComponentsAxis_us-gaap_CommonStockIncludingAdditionalPaidInCapitalMember
us-gaap:adjustmentstoadditionalpaidincapitalsharebasedcompensationandexerciseofstockoptions,144000000,Duration_1_1_2018_To_3_31_2018
us-gaap:adjustmentstoadditionalpaidincapitalsharebasedcompensationandexerciseofstockoptions,144000000,Duration_1_1_2018_To_3_31_2018_us-gaap_StatementEquityComponentsAxis_us-gaap_CommonStockIncludingAdditionalPaidInCapitalMember
us-gaap:adjustmenttoadditionalpaidincapitalincometaxeffectfromsharebasedcompensationnet,15000000,Duration_1_1_2017_To_3_31_2017_us-gaap_AwardTypeAxis_us-gaap_PerformanceSharesMember
us-gaap:adjustmenttoadditionalpaidincapitalincometaxeffectfromsharebasedcompensationnet,47000000,Duration_1_1_2017_To_3_31_2017_us-gaap_AwardTypeAxis_us-gaap_RestrictedStockMember
us-gaap:adjustmenttoadditionalpaidincapitalincometaxeffectfromsharebasedcompensationnet,11000000,Duration_1_1_2018_To_3_31_2018_us-gaap_AwardTypeAxis_us-gaap_PerformanceSharesMember
us-gaap:adjustmenttoadditionalpaidincapitalincometaxeffectfromsharebasedcompensationnet,28000000,Duration_1_1_2018_To_3_31_2018_us-gaap_AwardTypeAxis_us-gaap_RestrictedStockMember
us-gaap:allocatedsharebasedcompensationexpense,147000000,Duration_1_1_2017_To_3_31_2017
us-gaap:allocatedsharebasedcompensationexpense,26000000,Duration_1_1_2017_To_3_31_2017_us-gaap_IncomeStatementLocationAxis_mmm_ResearchDevelopmentAndRelatedExpensesMember
us-gaap:allocatedsharebasedcompensationexpense,23000000,Duration_1_1_2017_To_3_31_2017_us-gaap_IncomeStatementLocationAxis_us-gaap_CostOfSalesMember
us-gaap:allocatedsharebasedcompensationexpense,98000000,Duration_1_1_2017_To_3_31_2017_us-gaap_IncomeStatementLocationAxis_us-gaap_SellingGeneralAndAdministrativeExpensesMember
us-gaap:allocatedsharebasedcompensationexpense,159000000,Duration_1_1_2018_To_3_31_2018
us-gaap:allocatedsharebasedcompensationexpense,27000000,Duration_1_1_2018_To_3_31_2018_us-gaap_IncomeStatementLocationAxis_mmm_ResearchDevelopmentAndRelatedExpensesMember
us-gaap:allocatedsharebasedcompensationexpense,23000000,Duration_1_1_2018_To_3_31_2018_us-gaap_IncomeStatementLocationAxis_us-gaap_CostOfSalesMember
us-gaap:allocatedsharebasedcompensationexpense,109000000,Duration_1_1_2018_To_3_31_2018_us-gaap_IncomeStatementLocationAxis_us-gaap_SellingGeneralAndAdministrativeExpensesMember
us-gaap:allocatedsharebasedcompensationexpensenetoftax,61000000,Duration_1_1_2018_To_3_31_2018
us-gaap:amortizationofintangibleassets,64000000,Duration_1_1_2017_To_3_31_2017
us-gaap:amortizationofintangibleassets,64000000,Duration_1_1_2018_To_3_31_2018
us-gaap:antidilutivesecuritiesexcludedfromcomputationofearningspershareamount,3200000,Duration_1_1_2017_To_3_31_2017
us-gaap:antidilutivesecuritiesexcludedfromcomputationofearningspershareamount,1900000,Duration_1_1_2018_To_3_31_2018
us-gaap:assetimpairmentcharges,40000000,Duration_1_1_2017_To_3_31_2017_us-gaap_StatementBusinessSegmentsAxis_mmm_ElectronicsAndEnergyMember
us-gaap:assets,37987000000,As_Of_12_31_2017
us-gaap:assets,38575000000,As_Of_3_31_2018
us-gaap:assetscurrent,14277000000,As_Of_12_31_2017
us-gaap:assetscurrent,14818000000,As_Of_3_31_2018
us-gaap:availableforsalesecuritiesdebtmaturitiesnextrollingtwelvemonthsfairvalue,604000000,As_Of_3_31_2018
us-gaap:availableforsalesecuritiesdebtmaturitiesrollingyearsixthroughtenfairvalue,14000000,As_Of_3_31_2018
us-gaap:availableforsalesecuritiesdebtmaturitiesrollingyeartwothroughfivefairvalue,13000000,As_Of_3_31_2018
us-gaap:cashcashequivalentsrestrictedcashandrestrictedcashequivalents,2398000000,As_Of_12_31_2016
us-gaap:cashcashequivalentsrestrictedcashandrestrictedcashequivalents,2173000000,As_Of_3_31_2017
us-gaap:cashcashequivalentsrestrictedcashandrestrictedcashequivalents,3053000000,As_Of_12_31_2017
us-gaap:cashcashequivalentsrestrictedcashandrestrictedcashequivalents,3491000000,As_Of_3_31_2018
us-gaap:cashcashequivalentsrestrictedcashandrestrictedcashequivalentsperiodincreasedecreaseincluding,438000000,Duration_1_1_2018_To_3_31_2018
us-gaap:commonstockdividendspersharecashpaid,1.175,Duration_1_1_2017_To_3_31_2017
us-gaap:commonstockdividendspersharecashpaid,1.36,Duration_1_1_2018_To_3_31_2018
us-gaap:commonstockparorstatedvaluepershare,0.01,As_Of_12_31_2017
us-gaap:commonstockparorstatedvaluepershare,0.01,As_Of_3_31_2018
us-gaap:commonstocksharesissued,944033056,As_Of_12_31_2017
us-gaap:commonstocksharesissued,944033056,As_Of_3_31_2018
us-gaap:commonstockvalue,9000000,As_Of_12_31_2017
us-gaap:commonstockvalue,9000000,As_Of_3_31_2018
