0,1,2
us-gaap:goodwill,1800000000,eol_PE8528----1510-Q0014_STD_0_20141106_0_1114608x1190035
us-gaap:businesscombinationrecognizedidentifiableassetsacquiredandliabilitiesassumedintangibles,928000000,eol_PE8528----1510-Q0014_STD_0_20141106_0_1114608x1190035
us-gaap:stockrepurchaseprogramauthorizedamount1,40000000000,eol_PE8528----1510-Q0014_STD_0_20130916_0
us-gaap:accumulatedothercomprehensiveincomelossnetoftax,3757000000,eol_PE8528----1510-Q0014_STD_0_20140930_0
us-gaap:stockholdersequity,90170000000,eol_PE8528----1510-Q0014_STD_0_20140930_0
us-gaap:cashandcashequivalentsatcarryingvalue,6302000000,eol_PE8528----1510-Q0014_STD_0_20140930_0
us-gaap:accumulatedothercomprehensiveincomelossnetoftax,3342000000,eol_PE8528----1510-Q0014_STD_0_20140930_0_1107486x1105875
us-gaap:stockholdersequity,18051000000,eol_PE8528----1510-Q0014_STD_0_20140930_0_1107486x1106719
us-gaap:stockholdersequity,68362000000,eol_PE8528----1510-Q0014_STD_0_20140930_0_1107486x1107334
us-gaap:accumulatedothercomprehensiveincomelossnetoftax,350000000,eol_PE8528----1510-Q0014_STD_0_20140930_0_1107486x1110385
us-gaap:stockholdersequity,3757000000,eol_PE8528----1510-Q0014_STD_0_20140930_0_1107486x1113367
us-gaap:accumulatedothercomprehensiveincomelossnetoftax,65000000,eol_PE8528----1510-Q0014_STD_0_20140930_0_1107486x1157361
us-gaap:debtinstrumentfaceamount,10800000000,eol_PE8528----1510-Q0014_STD_0_20150228_0_1116613x1213988
us-gaap:commonstocksharesauthorized,24000000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:commonstocksharesoutstanding,7986000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:commonstocksincludingadditionalpaidincapital,68093000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:accruedincometaxescurrent,607000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:deferredrevenue,24387000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:liabilitiescurrent,49399000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:stockrepurchaseprogramremainingauthorizedrepurchaseamount1,17900000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:employeerelatedliabilitiescurrent,3450000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:accruedincometaxesnoncurrent,11900000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:accumulateddepreciationdepletionandamortizationpropertyplantandequipment,18009000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:longtermdebtnoncurrent,27819000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:securitiesloaned,129000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:deferredrevenuenoncurrent,2784000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:deferredtaxliabilitiesnoncurrent,2169000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:longtermdebtfairvalue,29200000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:longtermdebtcurrent,750000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:liabilities,95451000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:depositsreceivedforsecuritiesloanedatcarryingvalue,154000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:finitelivedintangibleassetsaccumulatedamortization,5410000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:allowancefordoubtfulaccountsreceivablecurrent,250000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:foreigncurrencycashflowhedgegainlosstobereclassifiedduringnext12months,546000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:availableforsalesecuritiesaccumulatedgrossunrealizedgainbeforetax,4726000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:commercialpaper,10000000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:otherliabilitiesnoncurrent,13280000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:deferredrevenuecurrent,21603000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:accumulatedothercomprehensiveincomelossnetoftax,1738000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:longtermdebt,28600000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:shorttermborrowings,9998000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:debtinstrumentfaceamount,28721000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:retainedearningsaccumulateddeficit,7614000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:stockholdersequity,77445000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:liabilitiesandstockholdersequity,172896000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:restructuringreserve,679000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:accountspayablecurrent,6630000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:otherliabilitiescurrent,6207000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:availableforsalesecurities,110768000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:assetsfairvaluedisclosurerecurring,106645000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:availableforsalesecuritiesdebtmaturitiesrollingyearsixthroughtenfairvalue,2598000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:cashcashequivalentsandshortterminvestments,99355000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:inventoryfinishedgoodsnetofreserves,2469000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:propertyplantandequipmentnet,15046000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:assetscurrent,121656000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:availableforsalesecuritiesdebtmaturitiesnextrollingtwelvemonthsfairvalue,47822000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:otherassetscurrent,5594000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:finitelivedintangibleassetsamortizationexpenseyeartwo,804000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
us-gaap:goodwill,17142000000,eol_PE8528----1510-Q0014_STD_0_20150930_0
