0,1,2
us-gaap:accountspayablecurrent,485000000,FI2017Q4
us-gaap:accountspayablecurrent,348000000,FI2018Q1
us-gaap:accountsreceivablenetcurrent,826000000,FI2017Q4
us-gaap:accountsreceivablenetcurrent,976000000,FI2018Q1
us-gaap:accruedincometaxesnoncurrent,96000000,FI2017Q4
us-gaap:accruedincometaxesnoncurrent,101000000,FI2018Q1
us-gaap:accruedliabilitiescurrent,507000000,FI2017Q4
us-gaap:accruedliabilitiescurrent,420000000,FI2018Q1
us-gaap:accruedprofessionalfeescurrentandnoncurrent,13000000,FI2017Q4
us-gaap:accruedprofessionalfeescurrentandnoncurrent,15000000,FI2018Q1
us-gaap:accruedroyaltiescurrent,7000000,FI2017Q4
us-gaap:accruedroyaltiescurrent,8000000,FI2018Q1
us-gaap:additionalpaidincapital,4708000000,FI2017Q4
us-gaap:additionalpaidincapital,4936000000,FI2018Q1
us-gaap:amortizationofdebtdiscountpremium,8000000,FD2017Q1QTD
us-gaap:amortizationofdebtdiscountpremium,2000000,FD2018Q1YTD
us-gaap:amortizationoffinancingcostsanddiscounts,8000000,FD2017Q1QTD
us-gaap:amortizationoffinancingcostsanddiscounts,1000000,FD2018Q1YTD
us-gaap:amortizationofintangibleassets,17000000,FD2017Q1QTD
us-gaap:amortizationofintangibleassets,15000000,FD2018Q1YTD
us-gaap:antidilutivesecuritiesexcludedfromcomputationofearningspershareamount,3000000,FD2017Q1QTD
us-gaap:antidilutivesecuritiesexcludedfromcomputationofearningspershareamount,2000000,FD2018Q1YTD
us-gaap:assets,9841000000,FI2017Q4
us-gaap:assets,9410000000,FI2018Q1
us-gaap:assetscurrent,8536000000,FI2017Q4
us-gaap:assetscurrent,8116000000,FI2018Q1
us-gaap:assetsfairvaluedisclosurerecurring,489000000,FI2017Q4_nvda_SummaryOfCashEquivalentsAndMarketableSecuritiesAxis_us-gaap_AssetBackedSecuritiesMember_us-gaap_FairValueByFairValueHierarchyLevelAxis_us-gaap_FairValueInputsLevel2Member
us-gaap:assetsfairvaluedisclosurerecurring,2388000000,FI2017Q4_nvda_SummaryOfCashEquivalentsAndMarketableSecuritiesAxis_us-gaap_CorporateDebtSecuritiesMember_us-gaap_FairValueByFairValueHierarchyLevelAxis_us-gaap_FairValueInputsLevel2Member
us-gaap:assetsfairvaluedisclosurerecurring,70000000,FI2017Q4_nvda_SummaryOfCashEquivalentsAndMarketableSecuritiesAxis_us-gaap_ForeignGovernmentDebtMember_us-gaap_FairValueByFairValueHierarchyLevelAxis_us-gaap_FairValueInputsLevel2Member
