0,1,2
us-gaap:accountspayableandaccruedliabilitiescurrentandnoncurrent,73365000000,FI2015Q4
us-gaap:accountspayableandaccruedliabilitiescurrentandnoncurrent,629000000,FI2015Q4_us-gaap_VariableInterestEntitiesByClassificationOfEntityAxis_us-gaap_VariableInterestEntityNotPrimaryBeneficiaryMember
us-gaap:accountspayableandaccruedliabilitiescurrentandnoncurrent,57000000,FI2015Q4_us-gaap_VariableInterestEntitiesByClassificationOfEntityAxis_us-gaap_VariableInterestEntityPrimaryBeneficiaryMember
us-gaap:accountspayableandaccruedliabilitiescurrentandnoncurrent,1000000,FI2015Q4_us-gaap_VariableInterestEntitiesByClassificationOfEntityAxis_wfc_TransfersAccountedForAsSecuredBorrowingsMember
us-gaap:accountspayableandaccruedliabilitiescurrentandnoncurrent,687000000,FI2015Q4_us-gaap_VariableInterestEntitiesByClassificationOfEntityAxis_wfc_VariableInterestEntitiesAndTransfersAccountedForAsSecuredBorrowingsMember
us-gaap:accountspayableandaccruedliabilitiescurrentandnoncurrent,57000000,FI2015Q4_us-gaap_VariableInterestEntitiesByClassificationOfEntityAxis_wfc_ViesThatWeConsolidateNoRecourseMember
us-gaap:accountspayableandaccruedliabilitiescurrentandnoncurrent,73597000000,FI2016Q1
us-gaap:accountspayableandaccruedliabilitiescurrentandnoncurrent,588000000,FI2016Q1_us-gaap_VariableInterestEntitiesByClassificationOfEntityAxis_us-gaap_VariableInterestEntityNotPrimaryBeneficiaryMember
us-gaap:accountspayableandaccruedliabilitiescurrentandnoncurrent,146000000,FI2016Q1_us-gaap_VariableInterestEntitiesByClassificationOfEntityAxis_us-gaap_VariableInterestEntityPrimaryBeneficiaryMember
us-gaap:accountspayableandaccruedliabilitiescurrentandnoncurrent,1000000,FI2016Q1_us-gaap_VariableInterestEntitiesByClassificationOfEntityAxis_wfc_TransfersAccountedForAsSecuredBorrowingsMember
us-gaap:accountspayableandaccruedliabilitiescurrentandnoncurrent,735000000,FI2016Q1_us-gaap_VariableInterestEntitiesByClassificationOfEntityAxis_wfc_VariableInterestEntitiesAndTransfersAccountedForAsSecuredBorrowingsMember
