Time,Open,High,Low,Last,Change,Volume
2014-12-31,46.73,47.44,46.45,46.45,-0.57,21552400
2014-12-30,47.44,47.62,46.84,47.02,-0.43,16384600
2014-12-29,47.7,47.78,47.26,47.45,-0.43,14439500
2014-12-26,48.41,48.41,47.82,47.88,-0.26,13197800
2014-12-24,48.64,48.64,48.08,48.14,-0.31,11442700
2014-12-23,48.37,48.8,48.13,48.45,0.47,23656500
2014-12-22,47.78,48.12,47.71,47.98,0.32,26565900
2014-12-19,47.61,48.1,47.17,47.66,0.14,64551100
2014-12-18,46.58,47.52,46.34,47.52,1.78,40105500
2014-12-17,45.05,45.94,44.9,45.74,0.58,34970800
2014-12-16,45.9,46.34,45.13,45.16,-1.51,47765700
2014-12-15,47.2,47.67,46.55,46.67,-0.28,29247700
2014-12-12,46.68,47.73,46.67,46.95,-0.22,34248300
2014-12-11,47.08,47.74,46.68,47.17,0.27,29061900
2014-12-10,47.58,47.66,46.7,46.9,-0.69,30431700
2014-12-09,47.11,47.92,47.05,47.59,-0.1,24330500
2014-12-08,48.32,48.35,47.44,47.69,-0.73,26663100
2014-12-05,48.82,48.97,48.38,48.42,-0.42,27313400
2014-12-04,48.39,49.06,48.2,48.84,0.76,30345100
2014-12-03,48.44,48.5,47.81,48.08,-0.38,23534700
2014-12-02,48.84,49.05,48.2,48.46,-0.16,25773400
2014-12-01,47.88,48.78,47.71,48.62,0.81,31191500
2014-11-28,47.95,48.19,47.61,47.81,0.06,21534400
2014-11-26,47.49,47.99,47.28,47.75,0.28,27164800
2014-11-25,47.66,47.97,47.45,47.47,-0.12,28007900
2014-11-24,47.99,48,47.39,47.59,-0.39,35434200
2014-11-21,49.02,49.05,47.57,47.98,-0.72,42884700
2014-11-20,48,48.7,47.87,48.7,0.48,21510500
2014-11-19,48.66,48.75,47.93,48.22,-0.52,26177400
2014-11-18,49.13,49.33,48.7,48.74,-0.72,23996400
2014-11-17,49.41,49.71,49.14,49.46,-0.12,30318600
2014-11-14,49.74,50.04,49.39,49.58,-0.03,29081600
2014-11-13,48.81,49.65,48.71,49.61,0.83,26210400
2014-11-12,48.56,48.92,48.52,48.78,-0.09,22722100
2014-11-11,48.85,48.93,48.65,48.87,-0.02,23445200
2014-11-10,48.69,49.15,48.55,48.89,0.21,36370000
2014-11-07,48.92,48.92,48.29,48.68,-0.02,28000500
2014-11-06,47.86,48.86,47.79,48.7,0.84,33037800
2014-11-05,47.8,47.9,47.26,47.86,0.29,22449500
2014-11-04,47.3,47.73,47.25,47.57,0.13,21530800
2014-11-03,46.89,47.46,46.73,47.44,0.49,23130300
2014-10-31,46.94,46.97,46.48,46.95,0.9,35849600
2014-10-30,46.3,46.32,45.77,46.05,-0.57,30073800
2014-10-29,46.44,46.7,46.34,46.62,0.13,30283600
2014-10-28,45.86,46.5,45.77,46.49,0.58,29049700
2014-10-27,45.71,46.1,45.71,45.91,-0.22,30371300
2014-10-24,46.81,46.9,45.18,46.13,1.11,61081000
2014-10-23,44.67,45.44,44.53,45.02,0.64,45451800
2014-10-22,45,45.07,44.22,44.38,-0.5,33579800
2014-10-21,44.36,44.97,44.19,44.88,0.8,36433800
2014-10-20,43.06,44.14,42.81,44.08,0.45,34530800
2014-10-17,43.2,43.94,42.79,43.63,0.89,40683300
2014-10-16,42.53,43.08,42.22,42.74,-0.48,49040900
2014-10-15,42.99,43.39,42.1,43.22,-0.51,60220900
2014-10-14,43.87,44.38,43.56,43.73,0.08,38120500
2014-10-13,43.82,44.56,43.49,43.65,-0.38,37100200
2014-10-10,45.6,46.12,43.95,44.03,-1.82,51978100
2014-10-09,46.5,46.8,45.74,45.85,-0.93,34426500
2014-10-08,45.49,46.89,45.34,46.78,1.25,33030900
2014-10-07,45.86,45.93,45.42,45.53,-0.56,25724500
2014-10-06,46.12,46.3,45.92,46.09,0,20603900
2014-10-03,45.98,46.3,45.61,46.09,0.33,32453200
2014-10-02,45.83,46.1,45.64,45.76,-0.14,25119500
2014-10-01,46.27,46.53,45.85,45.9,-0.46,38088300
2014-09-30,46.37,46.48,46.01,46.36,-0.08,33033000
2014-09-29,45.98,46.56,45.76,46.44,0.03,26090900
2014-09-26,45.93,46.62,45.76,46.41,0.37,27078700
2014-09-25,46.88,47.09,46.03,46.04,-1.04,33077300
2014-09-24,46.63,47.11,46.34,47.08,0.52,26582700
2014-09-23,46.85,46.98,46.47,46.56,-0.5,33431000
2014-09-22,47.3,47.38,46.98,47.06,-0.46,38686000
2014-09-19,46.81,47.57,46.6,47.52,0.84,202526496
2014-09-18,46.59,46.83,46.46,46.68,0.16,35556600
2014-09-17,46.28,46.69,46.23,46.52,-0.24,38311900
2014-09-16,46.39,46.85,46.29,46.76,0.52,27910500
2014-09-15,46.54,46.71,46.1,46.24,-0.45,37667600
2014-09-12,46.93,47.02,46.6,46.69,-0.31,38247100
2014-09-11,46.74,47,46.47,47,0.16,29216500
2014-09-10,46.82,46.94,46.28,46.84,0.08,27304400
2014-09-09,46.47,46.97,46.42,46.76,0.29,40302300
2014-09-08,46.02,46.8,45.99,46.47,0.56,45736700
2014-09-05,45.11,45.93,45.11,45.91,0.65,36939300
2014-09-04,44.74,45.27,44.72,45.26,0.3,26478000
2014-09-03,44.53,45.11,44.53,44.96,-0.13,33689300
2014-09-02,45.43,45.46,44.85,45.09,-0.34,22976700
2014-08-29,45.09,45.44,44.85,45.43,0.55,21608600
2014-08-28,44.75,44.98,44.61,44.88,0.01,17657600
2014-08-27,44.9,45,44.76,44.87,-0.14,21287900
2014-08-26,45.31,45.4,44.94,45.01,-0.16,14877600
2014-08-25,45.4,45.44,45.04,45.17,0.02,16909900
2014-08-22,45.31,45.47,45.07,45.15,-0.07,18294700
2014-08-21,44.84,45.25,44.83,45.22,0.27,22285500
2014-08-20,45.34,45.4,44.9,44.95,-0.38,24770400
2014-08-19,44.97,45.34,44.83,45.33,0.22,28139400
2014-08-18,44.94,45.11,44.68,45.11,0.32,26895300
2014-08-15,44.58,44.9,44.4,44.79,0.52,41611300
2014-08-14,44.08,44.42,44.01,44.27,0.19,19313100
2014-08-13,43.68,44.18,43.52,44.08,0.56,22889400
2014-08-12,43.04,43.59,43,43.52,0.32,21433500
2014-08-11,43.26,43.45,43.02,43.2,0,20351600
2014-08-08,43.23,43.31,42.91,43.2,-0.03,28943000
2014-08-07,42.84,43.45,42.65,43.23,0.49,30315100
2014-08-06,42.74,43.17,42.21,42.74,-0.34,24633900
2014-08-05,43.31,43.46,42.83,43.08,-0.29,26267500
2014-08-04,42.97,43.47,42.81,43.37,0.51,34277300
2014-08-01,43.21,43.25,42.6,42.86,-0.3,31171000
2014-07-31,43.38,43.69,43.08,43.16,-0.42,31540800
2014-07-30,44.07,44.1,43.29,43.58,-0.3,31925700
2014-07-29,43.91,44.09,43.64,43.88,-0.09,27764100
2014-07-28,44.36,44.51,43.93,43.97,-0.53,29687600
2014-07-25,44.3,44.66,44.3,44.5,0.1,26737700
2014-07-24,44.93,45,44.32,44.4,-0.47,30725300
2014-07-23,45.45,45.45,44.62,44.87,0.04,52363900
2014-07-22,45,45.15,44.59,44.83,0,43095800
2014-07-21,44.56,45.16,44.22,44.83,0.14,37604300
2014-07-18,44.65,44.84,44.25,44.69,0.16,43407400
2014-07-17,45.45,45.71,44.25,44.53,0.45,82180200
2014-07-16,42.5,44.31,42.48,44.08,1.63,63322300
2014-07-15,42.33,42.47,42.03,42.45,0.31,28758900
2014-07-14,42.22,42.45,42.04,42.14,0.05,21882900
2014-07-11,41.7,42.09,41.48,42.09,0.4,24087300
2014-07-10,41.37,42,41.05,41.69,0.02,21856800
2014-07-09,41.94,41.99,41.53,41.67,-0.11,18445900
2014-07-08,41.88,42,41.61,41.78,-0.21,31218200
2014-07-07,41.75,42.12,41.71,41.99,0.19,21953600
2014-07-03,41.92,41.99,41.56,41.8,-0.1,15969300
2014-07-02,41.74,41.9,41.53,41.9,0.03,20208500
2014-07-01,41.86,42.15,41.69,41.87,0.17,26922500
2014-06-30,42.17,42.21,41.7,41.7,-0.55,30805400
2014-06-27,41.61,42.29,41.51,42.25,0.53,74641904
2014-06-26,41.93,41.94,41.43,41.72,-0.31,23604400
2014-06-25,41.7,42.05,41.46,42.03,0.29,20051500
2014-06-24,41.83,41.94,41.56,41.74,-0.25,26518200
2014-06-23,41.71,42,41.69,41.99,0.31,18743900
2014-06-20,41.42,41.83,41.38,41.68,0.17,47765400
2014-06-19,41.63,41.77,41.33,41.51,-0.14,19837700
2014-06-18,41.6,41.74,41.18,41.65,-0.03,27097200
2014-06-17,41.29,41.91,40.33,41.68,0.18,22518600
2014-06-16,41.04,41.61,41.04,41.5,0.27,24205200
2014-06-13,41.07,41.56,40.86,41.23,0.65,26310600
2014-06-12,40.81,40.88,40.29,40.58,-0.28,29823000
2014-06-11,40.93,41.07,40.76,40.86,-0.25,18039900
2014-06-10,41.03,41.16,40.86,41.11,-0.16,15117600
2014-06-09,41.43,41.48,41.02,41.27,-0.21,15019400
2014-06-06,41.47,41.66,41.24,41.48,0.27,24060500
2014-06-05,40.59,41.25,40.4,41.21,0.89,31865200
2014-06-04,40.21,40.37,39.86,40.32,0.03,23210300
2014-06-03,40.6,40.68,40.25,40.29,-0.5,18071000
2014-06-02,40.95,41.09,40.68,40.79,-0.15,18504300
2014-05-30,40.45,40.97,40.25,40.94,0.6,34575500
2014-05-29,40.15,40.35,39.91,40.34,0.33,19893800
2014-05-28,40.14,40.19,39.82,40.01,-0.18,25711500
2014-05-27,40.22,40.26,39.81,40.19,0.07,26161100
2014-05-23,40.3,40.37,40,40.12,0.02,18020800
2014-05-22,40.29,40.35,39.85,40.1,-0.25,20202400
2014-05-21,39.8,40.35,39.74,40.35,0.67,22399300
2014-05-20,39.75,39.94,39.46,39.68,-0.07,21322300
2014-05-19,39.61,39.82,39.46,39.75,-0.08,24537400
2014-05-16,39.67,39.84,39.27,39.83,0.23,29868200
2014-05-15,40.09,40.4,39.51,39.6,-0.64,37793200
2014-05-14,40.3,40.45,40.05,40.24,-0.18,18818700
2014-05-13,39.92,40.5,39.85,40.42,0.45,27004700
2014-05-12,39.74,40.02,39.65,39.97,0.43,22787100
2014-05-09,39.54,39.85,39.37,39.54,-0.1,29647600
2014-05-08,39.34,39.9,38.97,39.64,0.22,32123000
2014-05-07,39.21,39.51,38.51,39.42,0.36,41749400
2014-05-06,39.29,39.35,38.95,39.06,-0.37,27112300
2014-05-05,39.52,39.64,39.3,39.43,-0.26,22460900
2014-05-02,40.32,40.34,39.66,39.69,-0.31,43417900
2014-05-01,40.24,40.36,39.95,40,-0.4,28791400
2014-04-30,40.37,40.5,40.17,40.4,-0.11,35464100
2014-04-29,41.1,41.19,40.39,40.51,-0.36,29637300
2014-04-28,40.14,41.29,40.09,40.87,0.96,50610200
2014-04-25,40.29,40.68,39.75,39.91,0.05,56883800
2014-04-24,39.75,39.97,39.3,39.86,0.17,42381500
2014-04-23,39.98,39.99,39.47,39.69,-0.3,24602700
